source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bloombergnef_free_content          Deep       220        14        14         0        13         1         1         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        78        13        13         0        13         0         0         0         0         0         0         0         0         0         0
google_ai_blog                     Deep       158        12        12         0        12         0         0         0         0         0         0         0         0         0         0
hugging_face_blog                  Deep       103        15        15         0        15         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       376        37        37         0        30         7         7         0         0         0         0         0         0         0         0
the_next_platform                  Deep       156        93        57         0        56         1         1         0         0         0         0         0         0         0         0
timmerman_report                   Deep       296        53        53         0        53         0         0         0         0         0         0         0         0         0         0
wood_mackenzie                     Deep       291        11        11         0         6         5         4         1         0         0         0         0         0         0         0
anyscale_ray_blog                  Deep       146        16        16         0        15         1         0         0         0         1         0         1         0         1         0
meta_ai_blog                       Deep        88         8         8         0         7         1         0         0         0         1         0         1         0         1         0
mit_technology_review              Flow       281        72        51         0        50         1         0         0         0         1         0         1         0         1         0
semianalysis                       Deep       198        11        11         0        10         1         0         0         0         1         0         1         0         1         0
weights_biases_blog                Deep       435        19        19         0        18         1         0         0         0         1         0         1         0         1         0
carbon_brief                       Deep        98        15        15         0        12         3         0         0         0         3         0         3         0         3         0
mit_csail                          Deep       157        15        15         0        11         4         1         0         0         3         0         3         0         3         0
semiconductor_engineering          Deep       162        35        35         0        32         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         0
together_ai_blog                   Deep       339        55        55         0        51         4         1         0         0         3         0         3         0         3         0
cohere_blog                        Deep       302        16        16         0        12         4         0         0         0         4         0         4         0         4         0
microsoft_research_blog            Deep       212        27        27         0        22         5         1         0         0         4         0         4         0         4         0
nature_biotechnology               Deep       132        39        39         0        34         5         0         1         0         4         0         4         0         4         0
nature_machine_intelligence        Deep       119        24        24         0        20         4         0         0         0         4         0         4         0         4         0
nvidia_developer_blog              Flow       180        97        55         0        51         4         0         0         0         4         0         4         0         4         0
apple_ml_research                  Deep      4992      1122        32         0         1        31         0         1         0        30         0        30        25         5         0
mistral_blog                       Deep       215        21        21         0         0        21         0         0         0        21         0        21        16         5         0
nature_energy                      Deep       120        34        34         0        29         5         0         0         0         5         0         5         0         5         0
quantum_computing_report           Deep       106        13        11         2         5         6         1         0         0         5         0         5         0         5         0
benchmark_minerals                 Deep       150        35        35         0        27         8         2         0         0         6         0         6         0         6         0
infoq                              Flow       335        59        59         0        45        14         2         0         0        12         0        12         0        12         0
semiwiki                           Deep       356        45        45         0        31        14         2         0         0        12         0        12         0        12         0
wired                              Flow       173        63        27         0         8        19         2         0         0        17         0        17         0        17         0
ars_technica                       Flow       205        38        38         0        19        19         0         0         0        19         0        19         0        19         0
