source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
anyscale_ray_blog                  Deep       110        12        12         0        12         0         0         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        84        15        15         0        15         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       373        33        33         0        23        10        10         0         0         0         0         0         0         0         0
meta_ai_blog                       Deep        97        10        10         0        10         0         0         0         0         0         0         0         0         0         0
semianalysis                       Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
mistral_blog                       Deep       224        23        23         0        22         1         0         0         0         1         0         1         0         1         0
timmerman_report                   Deep       287        50        50         0        48         2         1         0         0         1         0         1         0         1         0
carbon_brief                       Deep        98        21        21         0        19         2         0         0         0         2         0         2         0         2         0
cohere_blog                        Deep       382        17        17         0        15         2         0         0         0         2         0         2         0         2         0
google_ai_blog                     Deep       160        11        11         0         9         2         0         0         0         2         0         2         0         2         0
mit_csail                          Deep       155        15        15         0        12         3         1         0         0         2         0         2         0         2         0
nature_energy                      Deep       120        32        32         0        30         2         0         0         0         2         0         2         0         2         0
the_next_platform                  Deep       156        92        57         0        55         2         0         0         0         2         0         2         0         2         0
together_ai_blog                   Deep       374        71        59         0        56         3         1         0         0         2         0         2         0         2         0
weights_biases_blog                Deep       440        19        19         0        17         2         0         0         0         2         0         2         0         2         0
bloombergnef_free_content          Deep       220        14        14         0        10         4         1         0         0         3         0         3         0         3         0
nature_machine_intelligence        Deep       119        24        24         0        21         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         0
benchmark_minerals                 Deep       151        37        37         0        32         5         1         0         0         4         0         4         0         4         0
nature_biotechnology               Deep       133        40        40         0        36         4         0         0         0         4         0         4         0         4         0
apple_ml_research                  Deep      5157      1164        30         0         0        30         0         0         0        30         0        30        25         5         0
microsoft_research_blog            Deep       204        27        27         0        21         6         1         0         0         5         0         5         0         5         0
mit_technology_review              Flow       289        78        49         0        44         5         0         0         0         5         0         5         0         5         0
nvidia_developer_blog              Flow       180        99        54         0        49         5         0         0         0         5         0         5         0         5         0
quantum_computing_report           Deep       106        13        11         2         5         6         1         0         0         5         0         5         0         5         0
wood_mackenzie                     Deep       300        17        17         0         6        11         4         2         0         5         0         5         0         5         0
hugging_face_blog                  Deep       103        15        15         0         9         6         0         0         0         6         0         6         0         6         0
semiconductor_engineering          Deep       161        38        38         0        32         6         0         0         0         6         0         6         0         6         2
wired                              Flow       164        61        26         0        15        11         5         0         0         6         0         6         0         6         0
semiwiki                           Deep       350        49        49         0        29        20         3         0         0        17         0        17         0        17         0
infoq                              Flow       356        59        59         0        38        21         1         0         0        20         0        20         0        20         0
ars_technica                       Flow       202        38        30         0         0        30         0         0         0        30         5        25         0        25         0
