source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bloombergnef_free_content          Deep       220        14        14         0        13         1         1         0         0         0         0         0         0         0         0
carbon_brief                       Deep        99        23        23         0        23         0         0         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        85        15        15         0        15         0         0         0         0         0         0         0         0         0         0
google_ai_blog                     Deep       158        11        11         0        11         0         0         0         0         0         0         0         0         0         0
hugging_face_blog                  Deep       103        11        11         0        11         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       382        30        30         0        21         9         9         0         0         0         0         0         0         0         0
meta_ai_blog                       Deep        86         8         8         0         8         0         0         0         0         0         0         0         0         0         0
mistral_blog                       Deep       219        22        22         0        22         0         0         0         0         0         0         0         0         0         0
semianalysis                       Deep       201        11        11         0        10         1         1         0         0         0         0         0         0         0         0
the_next_platform                  Deep       156        92        57         0        57         0         0         0         0         0         0         0         0         0         0
timmerman_report                   Deep       292        53        53         0        53         0         0         0         0         0         0         0         0         0         0
wood_mackenzie                     Deep       296        16        16         0        11         5         4         1         0         0         0         0         0         0         0
anyscale_ray_blog                  Deep       151        15        15         0        14         1         0         0         0         1         0         1         0         1         0
cohere_blog                        Deep       373        17        17         0        15         2         0         0         0         2         0         2         0         2         0
mit_csail                          Deep       156        15        15         0        12         3         1         0         0         2         0         2         0         2         0
nature_energy                      Deep       120        33        33         0        31         2         0         0         0         2         0         2         0         2         0
semiconductor_engineering          Deep       162        37        37         0        35         2         0         0         0         2         0         2         0         2         0
weights_biases_blog                Deep       440        19        19         0        17         2         0         0         0         2         0         2         0         2         0
together_ai_blog                   Deep       352        63        59         0        55         4         1         0         0         3         0         3         0         3         0
microsoft_research_blog            Deep       202        27        27         0        22         5         1         0         0         4         0         4         0         4         0
mit_technology_review              Flow       285        76        55         0        51         4         0         0         0         4         0         4         0         4         0
nature_biotechnology               Deep       131        37        37         0        32         5         0         1         0         4         0         4         0         4         0
nature_machine_intelligence        Deep       119        26        26         0        22         4         0         0         0         4         0         4         0         4         0
nvidia_developer_blog              Flow       180        97        56         0        52         4         0         0         0         4         0         4         0         4         0
quantum_computing_report           Deep       106        13        11         2         6         5         1         0         0         4         0         4         0         4         0
apple_ml_research                  Deep      5062      1142        31         0         1        30         0         0         0        30         0        30        25         5         0
benchmark_minerals                 Deep       150        34        34         0        28         6         1         0         0         5         0         5         0         5         0
servethehome                       Deep       152        24        24         0        18         6         0         0         0         6         0         6         0         6         0
semiwiki                           Deep       350        43        43         0        26        17         3         2         0        12         0        12         0        12         0
wired                              Flow       166        60        28         0        14        14         2         0         0        12         0        12         0        12         0
infoq                              Flow       379        62        60         0        44        16         2         0         0        14         0        14         0        14         0
ars_technica                       Flow       205        38        38         0        23        15         0         0         0        15         0        15         0        15         0
