source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bloombergnef_free_content          Deep       220        13        13         0        12         1         1         0         0         0         0         0         0         0
fabricated_knowledge               Deep        78        13        13         0        13         0         0         0         0         0         0         0         0         0
mistral_blog                       Deep       209        20        20         0        20         0         0         0         0         0         0         0         0         0
cohere_blog                        Deep       297        15        15         0        14         1         0         0         0         1         0         1         0         1
meta_ai_blog                       Deep        84         7         7         0         6         1         0         0         0         1         0         1         0         1
semianalysis                       Deep       195        11        11         0        10         1         0         0         0         1         0         1         0         1
weights_biases_blog                Deep       435        19        19         0        18         1         0         0         0         1         0         1         0         1
anyscale_ray_blog                  Deep       109        14        14         0        12         2         0         0         0         2         0         2         0         2
hugging_face_blog                  Deep       102         9         9         0         7         2         0         0         0         2         0         2         0         2
ieee_spectrum                      Deep       399        35        35         0        21        14        12         0         0         2         0         2         0         2
timmerman_report                   Deep       314        58        58         0        54         4         2         0         0         2         0         2         0         2
together_ai_blog                   Deep       329        49        49         0        46         3         1         0         0         2         0         2         0         2
benchmark_minerals                 Deep       148        33        33         0        29         4         1         0         0         3         0         3         0         3
mit_csail                          Deep       157        15        15         0        11         4         1         0         0         3         0         3         0         3
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3
nature_energy                      Deep       120        32        32         0        28         4         0         0         0         4         0         4         0         4
nvidia_developer_blog              Flow       180        97        53         0        49         4         0         0         0         4         0         4         0         4
the_next_platform                  Deep       157        92        59         0        55         4         0         0         0         4         0         4         0         4
apple_ml_research                  Deep      4759      1066        31         0         0        31         0         1         0        30         0        30        25         5
carbon_brief                       Deep       431        31        31         0        26         5         0         0         0         5         0         5         0         5
google_ai_blog                     Deep       223        12        12         0         7         5         0         0         0         5         0         5         0         5
mit_technology_review              Flow       281        74        56         0        51         5         0         0         0         5         0         5         0         5
nature_machine_intelligence        Deep       119        27        27         0        22         5         0         0         0         5         0         5         0         5
quantum_computing_report           Deep       104        13        11         2         5         6         1         0         0         5         0         5         0         5
wood_mackenzie                     Deep       296        16        16         0         6        10         4         1         0         5         0         5         0         5
microsoft_research_blog            Deep       217        27        27         0        20         7         1         0         0         6         0         6         0         6
semiconductor_engineering          Deep       162        36        36         0        29         7         0         0         0         7         0         7         0         7
nature_biotechnology               Deep       131        39        39         0        28        11         0         0         0        11         0        11         0        11
wired                              Flow       178        73        25         0         7        18         3         0         0        15         0        15         0        15
infoq                              Flow       352        58        58         0        39        19         1         0         0        18         0        18         0        18
semiwiki                           Deep       333        52        52         0        27        25         2         2         0        21         0        21         0        21
ars_technica                       Flow       203        38        30         0         0        30         0         0         0        30         5        25         0        25
