source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bloombergnef_free_content          Deep       220        14        14         0        13         1         1         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        78        13        13         0        13         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       374        37        37         0        26        11        11         0         0         0         0         0         0         0         0
timmerman_report                   Deep       305        54        54         0        54         0         0         0         0         0         0         0         0         0         0
anyscale_ray_blog                  Deep       110        15        15         0        14         1         0         0         0         1         0         1         0         1         0
carbon_brief                       Deep        92        16        16         0        15         1         0         0         0         1         0         1         0         1         0
google_ai_blog                     Deep       158        12        12         0        11         1         0         0         0         1         0         1         0         1         0
meta_ai_blog                       Deep        88         8         8         0         7         1         0         0         0         1         0         1         0         1         0
semianalysis                       Deep       198        11        11         0        10         1         0         0         0         1         0         1         0         1         0
weights_biases_blog                Deep       435        19        19         0        18         1         0         0         0         1         0         1         0         1         0
cohere_blog                        Deep       298        16        16         0        14         2         0         0         0         2         0         2         0         2         0
hugging_face_blog                  Deep       103        16        16         0        14         2         0         0         0         2         0         2         0         2         0
mit_csail                          Deep       157        15        15         0        12         3         1         0         0         2         0         2         0         2         0
together_ai_blog                   Deep       333        52        52         0        49         3         1         0         0         2         0         2         0         2         0
benchmark_minerals                 Deep       150        34        34         0        28         6         2         0         0         4         0         4         0         4         0
microsoft_research_blog            Deep       212        27        27         0        22         5         1         0         0         4         0         4         0         4         0
mit_technology_review              Flow       281        73        52         0        48         4         0         0         0         4         0         4         0         4         0
nature_energy                      Deep       120        34        34         0        30         4         0         0         0         4         0         4         0         4         0
servethehome                       Deep       152        24        24         0        20         4         0         0         0         4         0         4         0         4         0
wood_mackenzie                     Deep       296        16        16         0         7         9         4         1         0         4         0         4         0         4         0
apple_ml_research                  Deep      4988      1121        31         0         0        31         0         1         0        30         0        30        25         5         0
mistral_blog                       Deep       212        21        21         0         0        21         0         0         0        21         0        21        16         5         0
nature_machine_intelligence        Deep       120        29        29         0        24         5         0         0         0         5         0         5         0         5         0
quantum_computing_report           Deep       104        13        11         2         5         6         1         0         0         5         0         5         0         5         0
the_next_platform                  Deep       156        93        57         0        52         5         0         0         0         5         0         5         0         5         0
nature_biotechnology               Deep       132        39        39         0        32         7         0         1         0         6         0         6         0         6         0
nvidia_developer_blog              Flow       180        98        52         0        46         6         0         0         0         6         0         6         0         6         0
semiconductor_engineering          Deep       162        35        35         0        28         7         0         0         0         7         0         7         0         7         0
infoq                              Flow       331        60        60         0        43        17         2         0         0        15         0        15         0        15         1
semiwiki                           Deep       357        48        48         0        30        18         2         1         0        15         0        15         0        15         0
wired                              Flow       167        60        27         0         9        18         1         0         0        17         0        17         0        17         0
ars_technica                       Flow       204        38        30         0         0        30         0         0         0        30         5        25         0        25         0
