source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
benchmark_minerals                 Deep       150        33        33         0        32         1         1         0         0         0         0         0         0         0         0
bloombergnef_free_content          Deep       219        15        15         0        14         1         1         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        84        15        15         0        15         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       404        32        32         0        22        10        10         0         0         0         0         0         0         0         0
meta_ai_blog                       Deep        86         8         8         0         8         0         0         0         0         0         0         0         0         0         0
mistral_blog                       Deep       221        22        22         0        22         0         0         0         0         0         0         0         0         0         0
semianalysis                       Deep       201        11        11         0        10         1         1         0         0         0         0         0         0         0         0
timmerman_report                   Deep       296        53        53         0        53         0         0         0         0         0         0         0         0         0         0
anyscale_ray_blog                  Deep       150        13        13         0        12         1         0         0         0         1         0         1         0         1         0
google_ai_blog                     Deep       158        11        11         0        10         1         0         0         0         1         0         1         0         1         0
together_ai_blog                   Deep       352        64        57         0        55         2         1         0         0         1         0         1         0         1         0
carbon_brief                       Deep        98        23        23         0        21         2         0         0         0         2         0         2         0         2         0
cohere_blog                        Deep       380        20        20         0        18         2         0         0         0         2         0         2         0         2         0
hugging_face_blog                  Deep       103        11        11         0         9         2         0         0         0         2         0         2         0         2         0
mit_technology_review              Flow       284        76        49         0        47         2         0         0         0         2         0         2         0         2         0
nvidia_developer_blog              Flow       180        97        48         0        46         2         0         0         0         2         0         2         0         2         0
the_next_platform                  Deep       156        92        59         0        57         2         0         0         0         2         0         2         0         2         0
weights_biases_blog                Deep       440        19        19         0        17         2         0         0         0         2         0         2         0         2         0
mit_csail                          Deep       156        15        15         0        11         4         1         0         0         3         0         3         0         3         0
nature_energy                      Deep       120        32        32         0        29         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         0
wood_mackenzie                     Deep       296        16        16         0         8         8         4         1         0         3         0         3         0         3         0
nature_machine_intelligence        Deep       119        27        27         0        23         4         0         0         0         4         0         4         0         4         0
semiconductor_engineering          Deep       162        37        37         0        33         4         0         0         0         4         0         4         0         4         0
apple_ml_research                  Deep      5095      1150        31         0         1        30         0         0         0        30         0        30        25         5         0
microsoft_research_blog            Deep       207        27        27         0        21         6         1         0         0         5         0         5         0         5         0
quantum_computing_report           Deep       106        13        11         2         5         6         1         0         0         5         0         5         0         5         0
nature_biotechnology               Deep       131        38        38         0        29         9         0         1         0         8         0         8         0         8         0
wired                              Flow       169        60        24         0        13        11         1         0         0        10         0        10         0        10         0
semiwiki                           Deep       346        43        43         0        30        13         1         1         0        11         0        11         0        11         0
infoq                              Flow       363        58        58         0        43        15         2         0         0        13         0        13         0        13         0
ars_technica                       Flow       204        38        38         0        19        19         0         0         0        19         0        19         0        19         0
