source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bloombergnef_free_content          Deep       220        14        14         0        13         1         1         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        79        13        13         0        13         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       421        34        34         0        27         7         7         0         0         0         0         0         0         0         0
meta_ai_blog                       Deep        90         8         8         0         8         0         0         0         0         0         0         0         0         0         0
timmerman_report                   Deep       296        53        53         0        53         0         0         0         0         0         0         0         0         0         0
anyscale_ray_blog                  Deep       147        15        15         0        14         1         0         0         0         1         0         1         0         1         0
carbon_brief                       Deep        98        14        14         0        12         2         1         0         0         1         0         1         0         1         0
google_ai_blog                     Deep       158        12        12         0        11         1         0         0         0         1         0         1         0         1         0
hugging_face_blog                  Deep       103        11        11         0        10         1         0         0         0         1         0         1         0         1         0
semianalysis                       Deep       198        11        11         0        10         1         0         0         0         1         0         1         0         1         0
the_next_platform                  Deep       156        92        59         0        57         2         1         0         0         1         0         1         0         1         0
weights_biases_blog                Deep       432        19        19         0        18         1         0         0         0         1         0         1         0         1         0
wood_mackenzie                     Deep       296        16        16         0        10         6         4         1         0         1         0         1         0         1         0
mit_csail                          Deep       157        15        15         0        12         3         1         0         0         2         0         2         0         2         0
mit_technology_review              Flow       285        75        52         0        50         2         0         0         0         2         0         2         0         2         0
nvidia_developer_blog              Flow       180        97        53         0        51         2         0         0         0         2         0         2         0         2         0
semiconductor_engineering          Deep       162        35        35         0        33         2         0         0         0         2         0         2         0         2         0
together_ai_blog                   Deep       345        57        57         0        54         3         1         0         0         2         0         2         0         2         0
benchmark_minerals                 Deep       150        34        34         0        31         3         0         0         0         3         0         3         0         3         0
cohere_blog                        Deep       302        17        17         0        14         3         0         0         0         3         0         3         0         3         0
nature_energy                      Deep       120        33        33         0        30         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         0
microsoft_research_blog            Deep       210        27        27         0        22         5         1         0         0         4         0         4         0         4         0
nature_machine_intelligence        Deep       119        26        26         0        22         4         0         0         0         4         0         4         0         4         0
apple_ml_research                  Deep      5009      1126        32         0         1        31         0         1         0        30         0        30        25         5         0
mistral_blog                       Deep       216        21        21         0         0        21         0         0         0        21         0        21        16         5         0
nature_biotechnology               Deep       132        39        39         0        33         6         0         1         0         5         0         5         0         5         0
quantum_computing_report           Deep       106        13        11         2         5         6         1         0         0         5         0         5         0         5         0
wired                              Flow       170        60        28         0         9        19        14         0         0         5         0         5         0         5         0
semiwiki                           Deep       347        46        46         0        32        14         2         1         0        11         0        11         0        11         0
infoq                              Flow       352        55        55         0        40        15         2         0         0        13         0        13         0        13         0
ars_technica                       Flow       205        38        38         0        15        23         0         0         0        23         0        23         0        23         0
